epoch (ms),time (06:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1601970688448,2020-10-06T10:51:28.448,5.300,-0.122,-1.905,0.290
1601970688468,2020-10-06T10:51:28.468,5.320,0.534,0.610,0.290
1601970688488,2020-10-06T10:51:28.488,5.340,0.122,-0.076,0.290
1601970688508,2020-10-06T10:51:28.508,5.360,-0.152,-0.899,0.335
1601970688528,2020-10-06T10:51:28.528,5.380,0.183,0.091,0.259
1601970688548,2020-10-06T10:51:28.548,5.400,0.061,-0.762,0.290
1601970688568,2020-10-06T10:51:28.568,5.420,-0.244,-1.189,0.457
1601970688588,2020-10-06T10:51:28.588,5.440,0.137,0.000,0.442
1601970688608,2020-10-06T10:51:28.608,5.460,-0.015,-1.128,0.457
1601970688628,2020-10-06T10:51:28.628,5.480,-0.518,-3.049,0.305
1601970688648,2020-10-06T10:51:28.648,5.500,0.122,-0.762,0.137
1601970688668,2020-10-06T10:51:28.668,5.520,0.366,0.290,0.198
1601970688688,2020-10-06T10:51:28.688,5.540,-0.290,-1.189,0.442
1601970688708,2020-10-06T10:51:28.708,5.560,-0.122,-0.030,0.427
1601970688728,2020-10-06T10:51:28.728,5.580,0.213,-0.061,0.412
1601970688748,2020-10-06T10:51:28.748,5.600,-0.625,-3.064,0.366
1601970688768,2020-10-06T10:51:28.768,5.620,-0.488,-2.363,0.320
1601970688788,2020-10-06T10:51:28.788,5.640,0.610,1.463,0.290
1601970688808,2020-10-06T10:51:28.808,5.660,0.259,0.030,0.244
1601970688828,2020-10-06T10:51:28.828,5.680,-0.625,-2.973,0.274
1601970688848,2020-10-06T10:51:28.848,5.700,0.107,-0.183,0.381
1601970688868,2020-10-06T10:51:28.868,5.720,0.335,1.235,0.412
1601970688888,2020-10-06T10:51:28.888,5.740,-0.625,-2.927,0.335
1601970688908,2020-10-06T10:51:28.908,5.760,-0.838,-3.857,0.320
1601970688928,2020-10-06T10:51:28.928,5.780,0.808,2.043,0.229
1601970688948,2020-10-06T10:51:28.948,5.800,0.869,2.774,0.259
1601970688968,2020-10-06T10:51:28.968,5.820,-0.762,-3.171,0.305
1601970688988,2020-10-06T10:51:28.988,5.840,-0.473,-2.561,0.335
1601970689008,2020-10-06T10:51:29.008,5.860,0.579,1.143,0.396
1601970689028,2020-10-06T10:51:29.028,5.880,0.046,-0.838,0.351
1601970689048,2020-10-06T10:51:29.048,5.900,-0.899,-4.116,0.320
1601970689068,2020-10-06T10:51:29.068,5.920,-0.137,-1.662,0.229
1601970689088,2020-10-06T10:51:29.088,5.940,0.701,1.540,0.152
1601970689108,2020-10-06T10:51:29.108,5.960,0.351,0.168,0.183
1601970689128,2020-10-06T10:51:29.128,5.980,-0.213,-2.271,0.366
1601970689148,2020-10-06T10:51:29.148,6.000,-0.274,-2.149,0.244
1601970689168,2020-10-06T10:51:29.168,6.020,0.442,0.518,0.122
1601970689188,2020-10-06T10:51:29.188,6.040,0.762,1.555,0.183
1601970689208,2020-10-06T10:51:29.208,6.060,-0.107,-1.189,0.168
1601970689228,2020-10-06T10:51:29.228,6.080,-0.579,-2.927,0.244
1601970689248,2020-10-06T10:51:29.248,6.100,-0.229,-1.799,0.381
1601970689268,2020-10-06T10:51:29.268,6.120,0.259,1.509,0.473
1601970689288,2020-10-06T10:51:29.288,6.140,0.381,1.372,0.534
1601970689308,2020-10-06T10:51:29.308,6.160,-1.113,-4.162,0.518
1601970689328,2020-10-06T10:51:29.328,6.180,-0.747,-3.110,0.335
1601970689348,2020-10-06T10:51:29.348,6.200,0.838,2.424,0.183
1601970689368,2020-10-06T10:51:29.368,6.220,0.412,1.143,0.183
1601970689388,2020-10-06T10:51:29.388,6.240,-0.335,-1.936,0.320
1601970689408,2020-10-06T10:51:29.408,6.260,0.076,-0.351,0.396
1601970689428,2020-10-06T10:51:29.428,6.280,-0.030,-0.107,0.335
1601970689448,2020-10-06T10:51:29.448,6.300,-0.579,-2.424,0.351
1601970689468,2020-10-06T10:51:29.468,6.320,-0.107,-0.640,0.290
1601970689488,2020-10-06T10:51:29.488,6.340,0.564,3.003,0.305
1601970689508,2020-10-06T10:51:29.508,6.360,0.091,2.363,0.290
1601970689528,2020-10-06T10:51:29.528,6.380,-0.640,-0.412,0.274
1601970689548,2020-10-06T10:51:29.548,6.400,0.213,1.082,0.320
1601970689568,2020-10-06T10:51:29.568,6.420,0.823,2.591,0.274
1601970689588,2020-10-06T10:51:29.588,6.440,-0.412,-1.875,0.351
1601970689608,2020-10-06T10:51:29.608,6.460,-1.052,-4.055,0.305
1601970689628,2020-10-06T10:51:29.628,6.480,0.396,0.091,0.274
1601970689648,2020-10-06T10:51:29.648,6.500,0.610,1.524,0.244
1601970689668,2020-10-06T10:51:29.668,6.520,-0.122,-1.296,0.244
1601970689688,2020-10-06T10:51:29.688,6.540,-0.259,-1.692,0.274
1601970689708,2020-10-06T10:51:29.708,6.560,-0.046,-1.220,0.412
