epoch (ms),time (06:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601970688172,2020-10-06T10:51:28.172,5.000,0.043,-0.016,1.017
1601970688192,2020-10-06T10:51:28.192,5.020,0.055,-0.019,1.023
1601970688212,2020-10-06T10:51:28.212,5.040,0.044,-0.016,1.018
1601970688232,2020-10-06T10:51:28.232,5.060,0.035,-0.012,1.015
1601970688252,2020-10-06T10:51:28.252,5.080,0.038,-0.015,1.019
1601970688272,2020-10-06T10:51:28.272,5.100,0.047,-0.017,1.016
1601970688292,2020-10-06T10:51:28.292,5.120,0.049,-0.018,1.018
1601970688312,2020-10-06T10:51:28.312,5.140,0.046,-0.017,1.019
1601970688332,2020-10-06T10:51:28.332,5.160,0.041,-0.014,1.020
1601970688352,2020-10-06T10:51:28.352,5.180,0.044,-0.016,1.015
1601970688372,2020-10-06T10:51:28.372,5.200,0.048,-0.018,1.020
1601970688392,2020-10-06T10:51:28.392,5.220,0.041,-0.017,1.018
1601970688412,2020-10-06T10:51:28.412,5.240,0.036,-0.016,1.015
1601970688432,2020-10-06T10:51:28.432,5.260,0.045,-0.017,1.017
1601970688452,2020-10-06T10:51:28.452,5.280,0.047,-0.017,1.019
1601970688472,2020-10-06T10:51:28.472,5.300,0.042,-0.016,1.020
1601970688492,2020-10-06T10:51:28.492,5.320,0.042,-0.016,1.017
1601970688512,2020-10-06T10:51:28.512,5.340,0.042,-0.018,1.013
1601970688532,2020-10-06T10:51:28.532,5.360,0.042,-0.015,1.018
1601970688552,2020-10-06T10:51:28.552,5.380,0.044,-0.013,1.021
1601970688572,2020-10-06T10:51:28.572,5.400,0.044,-0.014,1.021
1601970688592,2020-10-06T10:51:28.592,5.420,0.040,-0.017,1.017
1601970688612,2020-10-06T10:51:28.612,5.440,0.044,-0.017,1.015
1601970688632,2020-10-06T10:51:28.632,5.460,0.049,-0.016,1.021
1601970688652,2020-10-06T10:51:28.652,5.480,0.047,-0.016,1.020
1601970688672,2020-10-06T10:51:28.672,5.500,0.042,-0.017,1.017
1601970688692,2020-10-06T10:51:28.692,5.520,0.045,-0.017,1.015
1601970688712,2020-10-06T10:51:28.712,5.540,0.042,-0.016,1.019
1601970688732,2020-10-06T10:51:28.732,5.560,0.042,-0.016,1.016
1601970688752,2020-10-06T10:51:28.752,5.580,0.048,-0.016,1.021
1601970688772,2020-10-06T10:51:28.772,5.600,0.050,-0.019,1.021
1601970688792,2020-10-06T10:51:28.792,5.620,0.044,-0.019,1.017
1601970688812,2020-10-06T10:51:28.812,5.640,0.042,-0.014,1.017
1601970688832,2020-10-06T10:51:28.832,5.660,0.048,-0.017,1.017
1601970688852,2020-10-06T10:51:28.852,5.680,0.047,-0.016,1.018
1601970688872,2020-10-06T10:51:28.872,5.700,0.040,-0.015,1.015
1601970688892,2020-10-06T10:51:28.892,5.720,0.046,-0.017,1.018
1601970688912,2020-10-06T10:51:28.912,5.740,0.057,-0.019,1.023
1601970688932,2020-10-06T10:51:28.932,5.760,0.046,-0.018,1.021
